,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
14,100,14,0.12503967,0.017513333,0.124281116,0.017499974,0.38989047765731827,0.3912456226348878,0.00051715612411499,0.00047600984573364257
15,100,15,0.11673321,0.01781434,0.11572717,0.017343111,0.41268608093261727,0.4140741229057312,0.0005509114265441894,0.000508913993835449
16,100,16,0.11875502,0.018006299,0.11805704,0.018039554,0.39979323148727425,0.4011601829528807,0.0005257248878479005,0.00048185586929321277
17,100,17,0.10501482,0.014586623,0.104385,0.014531513,0.40764591455459587,0.409022958278656,0.0005398750305175779,0.0004950284957885743
18,100,18,0.11553315,0.01681651,0.11496323,0.016857328,0.3949037003517151,0.39625256061553943,0.0005219340324401856,0.0004796051979064943
19,100,19,0.113596536,0.018055888,0.11289016,0.017941983,0.407261288166046,0.4086558580398558,0.0005280256271362304,0.0004815363883972169
20,100,20,0.116345674,0.016817039,0.11559456,0.016685477,0.3949199175834655,0.39633751392364513,0.0005390954017639163,0.0004900908470153808
21,100,21,0.11097921,0.01595899,0.11033831,0.015939943,0.43362061023712173,0.43508243322372453,0.0005659246444702147,0.0005144238471984862
22,100,22,0.11719356,0.016857611,0.11646262,0.016792258,0.4145260405540468,0.4159640002250672,0.0005631065368652341,0.000513615608215332
23,100,23,0.132056,0.018094337,0.13125288,0.01795578,0.39889278173446646,0.40026099681854244,0.0005261445045471191,0.0004799652099609375
24,100,24,0.113864005,0.015263682,0.1130959,0.015184474,0.3959628224372863,0.3973738551139834,0.0005490803718566897,0.0004983282089233398
25,100,25,0.123154975,0.018399436,0.12241276,0.018358473,0.3944647121429444,0.39582572937011734,0.0005264401435852051,0.0004841065406799317
26,100,26,0.12297504,0.016769914,0.12216656,0.016606418,0.4017827773094175,0.40320839643478373,0.0005504131317138671,0.0005022215843200685
27,100,27,0.122459754,0.01686211,0.121735334,0.016814305,0.39693596124649055,0.39831772327423093,0.0005358219146728514,0.0004897618293762208
28,100,28,0.11533338,0.015988681,0.11452527,0.015894935,0.39996376037597664,0.4013781118392944,0.0005422067642211917,0.0004923367500305175
29,100,29,0.121655144,0.017941581,0.120986044,0.017973326,0.4004140210151673,0.401834216117859,0.0005395030975341796,0.00049879789352417
30,100,30,0.11216988,0.015641311,0.11143236,0.015493378,0.4019424152374266,0.4033553910255433,0.0005520987510681154,0.0005001306533813479
31,100,31,0.12205339,0.017365787,0.12134075,0.017408395,0.40475891113281254,0.40616230249404905,0.0005381679534912111,0.0004915714263916015
32,100,32,0.114580244,0.016550371,0.11393045,0.016550362,0.4012388491630552,0.4026214718818666,0.0005347275733947753,0.0004889249801635741
33,100,33,0.12019742,0.017887346,0.119221225,0.017487613,0.3949594378471376,0.3963539338111878,0.0005367541313171387,0.0004926753044128419
34,100,34,0.10953926,0.016606648,0.10878804,0.016413972,0.415557210445404,0.41695206403732277,0.000538628101348877,0.0004945182800292971
35,100,35,0.11036431,0.015393834,0.10960901,0.015268821,0.3911374258995056,0.39248519420623784,0.0005245065689086912,0.0004756999015808107
36,100,36,0.119655475,0.017823016,0.11886235,0.017734788,0.39830308914184576,0.39965266466140764,0.0005168390274047849,0.00047515630722045883
37,100,37,0.117582135,0.017465575,0.1169235,0.017394414,0.3895033931732177,0.39087636709213264,0.0005258655548095705,0.0004817771911621094
38,100,38,0.11450486,0.016479172,0.11370685,0.016312378,0.39951814651489254,0.40085930109024054,0.0005322599411010743,0.0004895615577697755
39,100,39,0.111676596,0.01632935,0.11100275,0.016257402,0.3888963866233827,0.39031213283538807,0.00054323673248291,0.0005007505416870119
40,100,40,0.12146391,0.017968714,0.12054505,0.017692892,0.3862409114837647,0.3876842164993286,0.0005481743812561033,0.000499720573425293
41,100,41,0.12029978,0.017488183,0.119686276,0.017578097,0.3918035221099853,0.39317471504211415,0.0005264163017272949,0.00047997713088989254
42,100,42,0.11610181,0.016678013,0.11533912,0.016587956,0.4140958309173584,0.415586543083191,0.0005739688873291016,0.000524716377258301
43,100,43,0.122435,0.017372357,0.12163781,0.017348263,0.3943557476997376,0.3957566690444948,0.0005418467521667481,0.0004941082000732422
44,100,44,0.11982584,0.017271277,0.11895594,0.017013444,0.3935625910758971,0.39493329524993886,0.0005333328247070313,0.0004904174804687498
45,100,45,0.12213685,0.018060926,0.121301964,0.017927436,0.39699707984924326,0.39839244127273554,0.0005317878723144532,0.0004893422126770021
46,100,46,0.11496802,0.016611423,0.11430927,0.016637193,0.3996398138999939,0.4010208821296691,0.0005307197570800781,0.0004908394813537598
47,100,47,0.11956767,0.018649707,0.11881927,0.018524798,0.39821818351745597,0.3996416711807252,0.0005572056770324708,0.0005118584632873536
48,100,48,0.122213595,0.01862677,0.12154384,0.018678667,0.41574207305908195,0.41714379072189334,0.000560295581817627,0.0005119204521179198
49,100,49,0.10865165,0.017259305,0.10774575,0.01686068,0.3809962868690489,0.3824181914329527,0.0005447697639465332,0.0004964780807495119
50,100,50,0.122813016,0.017674476,0.1218847,0.017434679,0.41732201576232925,0.41871327400207514,0.0005512142181396488,0.0005060362815856934
51,100,51,0.10875996,0.016022025,0.108310804,0.016192423,0.3779138445854188,0.37925189256668096,0.0005268001556396483,0.00048529386520385754
52,100,52,0.124381624,0.017476719,0.12358087,0.017431129,0.4200277733802796,0.4214276838302612,0.0005359697341918944,0.00049206018447876
53,100,53,0.11605499,0.015632601,0.11540428,0.015591016,0.3962992453575135,0.39766098260879496,0.0005268311500549314,0.00048416614532470714
54,100,54,0.118438356,0.017092027,0.11790114,0.017191062,0.4088491868972777,0.41030221939086897,0.0005521631240844729,0.0005131268501281736
55,100,55,0.123333834,0.017732138,0.122750364,0.01782325,0.3946610808372498,0.3960609483718871,0.0005398249626159666,0.00048764705657958993
56,100,56,0.11608445,0.016964639,0.1153611,0.016967088,0.4548758792877198,0.45633047342300415,0.0005725669860839846,0.0005260562896728515
57,100,57,0.11424965,0.017641466,0.11347994,0.017503088,0.39622776746749877,0.3976094841957093,0.0005467891693115232,0.0005012655258178711
58,100,58,0.11550331,0.016559267,0.11473495,0.016369205,0.42685804605483996,0.4282923841476441,0.000566999912261963,0.0005194878578186035
59,100,59,0.1213325,0.017242488,0.12054416,0.017087482,0.41401927709579467,0.4154490590095521,0.0005576920509338379,0.0005133605003356933
60,100,60,0.11542016,0.015859596,0.114684135,0.015812052,0.4019081091880798,0.4033050322532653,0.0005404376983642576,0.0004952287673950197
61,100,61,0.123828955,0.016413433,0.12316506,0.016359443,0.40713979244232174,0.4085517740249635,0.0005504083633422856,0.0005052685737609864
