,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
22,1000,22,0.019546447,0.0065542664,0.019631583,0.006693101,1.8214880561828606,1.8226936340332034,0.0004105019569396972,0.000370316505432129
23,1000,23,0.01802951,0.005183329,0.018024752,0.00523943,1.8104428148269658,1.8116719770431515,0.00041893482208251956,0.000376567840576172
24,1000,24,0.01762678,0.0062267072,0.017643351,0.006305319,1.8295127010345458,1.8307340884208685,0.00041703939437866234,0.0003759193420410157
25,1000,25,0.01883187,0.0059038103,0.018875465,0.0059799813,1.8251523089408872,1.8263258552551263,0.00041102647781372066,0.00036400318145751953
26,1000,26,0.016128518,0.004089804,0.016071266,0.0041039097,1.8224104404449464,1.8235915160179135,0.00041157007217407205,0.0003707551956176757
27,1000,27,0.018024223,0.005959419,0.018195026,0.0061841593,1.8316557002067568,1.8328751635551457,0.00043714523315429687,0.00039291143417358393
28,1000,28,0.020080466,0.007087028,0.020024447,0.0070697754,1.8253348112106311,1.8265542221069337,0.00042673826217651375,0.00038465499877929685
29,1000,29,0.018582279,0.005182949,0.018601306,0.0052360375,1.8238782453536981,1.8251051187515255,0.00041409492492675747,0.00037011861801147447
30,1000,30,0.017255016,0.0043188515,0.017225262,0.0043461495,1.821567237377166,1.8227655172348025,0.0004215860366821292,0.00037942886352539064
31,1000,31,0.018615957,0.0056469953,0.01852011,0.0056154095,1.8180109739303583,1.819232244491577,0.00043241739273071296,0.0003863334655761716
32,1000,32,0.01776597,0.0048734355,0.0176994,0.0048580915,1.8169359064102173,1.8181796550750726,0.00040258884429931644,0.0003650450706481932
33,1000,33,0.018269595,0.0054771253,0.018241487,0.005491499,1.82522872209549,1.8264533615112308,0.00042742490768432617,0.00037944078445434565
34,1000,34,0.01794675,0.0056588477,0.017941939,0.005703447,1.8306140160560613,1.8317899990081792,0.00039953470230102544,0.0003590941429138184
35,1000,35,0.018605221,0.005780993,0.018594332,0.0058203815,1.7507835721969602,1.7519843268394464,0.0004014134407043457,0.000361173152923584
36,1000,36,0.017807553,0.0046196952,0.017850175,0.0046963934,1.7060355877876283,1.7072228169441224,0.00040105342864990237,0.0003627896308898925
37,1000,37,0.01769397,0.005015088,0.017661806,0.0050290786,1.7317693805694576,1.7329683375358573,0.000401613712310791,0.00036232233047485375
38,1000,38,0.018228484,0.0053543607,0.018281227,0.005458782,1.7140692472457884,1.7152514028549186,0.0004052948951721192,0.0003629136085510254
39,1000,39,0.018952807,0.006493152,0.018999144,0.006590548,1.7202472352981557,1.7214677119255066,0.00041373252868652353,0.00036667108535766614
40,1000,40,0.0183197,0.006644623,0.018126842,0.0064863744,1.813038311004638,1.814262738227844,0.000421581268310547,0.00038207292556762695
41,1000,41,0.017479315,0.004564437,0.017541867,0.00468517,1.8187897157669062,1.8199365377426144,0.00040910720825195325,0.0003664565086364748
42,1000,42,0.018121554,0.0045725177,0.018257264,0.0047554797,1.749585564136504,1.750762681961059,0.0004048943519592286,0.00036506652832031257
43,1000,43,0.016982581,0.0049911067,0.017122101,0.0051717917,1.7830308341979977,1.7842832517623908,0.00044846296310424805,0.00039093732833862316
44,1000,44,0.019122643,0.006023095,0.01915152,0.006090141,1.7929998588562017,1.794207098484039,0.00041525363922119136,0.0003747344017028807
